,precision,recall,f1-score,support
Apple___Apple_scab,0.9733606557377049,0.9424603174603174,0.9576612903225806,504.0
Apple___Black_rot,0.9703557312252964,0.9879275653923542,0.9790628115653041,497.0
Apple___Cedar_apple_rust,0.9953810623556582,0.9795454545454545,0.9873997709049256,440.0
Apple___healthy,0.982,0.9780876494023905,0.9800399201596807,502.0
Blueberry___healthy,0.9977272727272727,0.9669603524229075,0.9821029082774049,454.0
Cherry_(including_sour)___Powdery_mildew,0.9904076738609112,0.9809976247030879,0.9856801909307876,421.0
Cherry_(including_sour)___healthy,0.9536842105263158,0.993421052631579,0.9731471535982814,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9587912087912088,0.8512195121951219,0.9018087855297158,410.0
Corn_(maize)___Common_rust_,0.9937369519832986,0.9979035639412998,0.99581589958159,477.0
Corn_(maize)___Northern_Leaf_Blight,0.8831417624521073,0.9664570230607966,0.9229229229229229,477.0
Corn_(maize)___healthy,0.9978494623655914,0.9978494623655914,0.9978494623655914,465.0
Grape___Black_rot,0.9603340292275574,0.9745762711864406,0.9674027339642481,472.0
Grape___Esca_(Black_Measles),0.9728033472803347,0.96875,0.9707724425887265,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9839449541284404,0.9976744186046511,0.9907621247113164,430.0
Grape___healthy,0.986013986013986,1.0,0.9929577464788732,423.0
Orange___Haunglongbing_(Citrus_greening),0.971042471042471,1.0,0.9853085210577864,503.0
Peach___Bacterial_spot,0.9741379310344828,0.9847494553376906,0.9794149512459371,459.0
Peach___healthy,0.9707865168539326,1.0,0.9851767388825542,432.0
"Pepper,_bell___Bacterial_spot",0.9288537549407114,0.9832635983263598,0.9552845528455285,478.0
"Pepper,_bell___healthy",0.9615384615384616,0.9557344064386318,0.958627648839556,497.0
Potato___Early_blight,0.9657258064516129,0.9876288659793815,0.9765545361875637,485.0
Potato___Late_blight,0.9721030042918455,0.934020618556701,0.9526813880126183,485.0
Potato___healthy,0.9775784753363229,0.956140350877193,0.9667405764966741,456.0
Raspberry___healthy,0.990909090909091,0.9797752808988764,0.9853107344632769,445.0
Soybean___healthy,0.974155069582505,0.9702970297029703,0.9722222222222222,505.0
Squash___Powdery_mildew,1.0,1.0,1.0,434.0
Strawberry___Leaf_scorch,1.0,0.9752252252252253,0.9874572405929305,444.0
Strawberry___healthy,0.9911111111111112,0.9780701754385965,0.9845474613686535,456.0
Tomato___Bacterial_spot,0.9232505643340858,0.9623529411764706,0.9423963133640553,425.0
Tomato___Early_blight,0.8577777777777778,0.8041666666666667,0.8301075268817204,480.0
Tomato___Late_blight,0.9369158878504673,0.8660907127429806,0.9001122334455668,463.0
Tomato___Leaf_Mold,0.8764940239043825,0.9361702127659575,0.9053497942386831,470.0
Tomato___Septoria_leaf_spot,0.8753056234718827,0.8211009174311926,0.8473372781065088,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.910025706940874,0.8137931034482758,0.8592233009708737,435.0
Tomato___Target_Spot,0.796875,0.7811816192560175,0.7889502762430939,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9754601226993865,0.9734693877551021,0.9744637385086823,490.0
Tomato___Tomato_mosaic_virus,0.9366812227074236,0.9575892857142857,0.9470198675496688,448.0
Tomato___healthy,0.8563636363636363,0.9792099792099792,0.9136760426770126,481.0
accuracy,0.9527088549965855,0.9527088549965855,0.9527088549965855,0.9527088549965855
macro avg,0.9532269359952144,0.9522068447594879,0.9521933975816609,17572.0
weighted avg,0.9530900570200017,0.9527088549965855,0.9523833246756691,17572.0
